data,produto,municipio,tipo,peso,preco
01/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
02/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
03/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
04/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
08/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
09/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
10/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
11/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
14/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
15/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
15/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
16/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
17/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
18/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
21/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
22/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
23/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
24/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
25/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
28/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
29/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
30/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
01/10/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
02/10/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
05/10/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
16/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 50,00"
17/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
18/09/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
21/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
22/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
23/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
24/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
25/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
28/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
29/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 165,00"
30/09/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
01/10/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
02/10/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
05/10/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
06/10/2015,Abacate,SALVADOR,Médio,sc 25 Kg,"R$ 45,00"
06/10/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
07/10/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
08/10/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
09/10/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
13/10/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
14/10/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
15/10/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
16/10/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
19/10/2015,Abacate,SALVADOR,Médio,cx 30 kg,"R$ 180,00"
